customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,segment
17858.0,5.0,30,12518.650000000003,5,5,5,Champions
15898.0,0.0,25,4996.4499999999925,5,5,5,Champions
15804.0,0.0,13,4206.389999999998,5,5,5,Champions
15694.0,0.0,24,9978.47999999999,5,5,5,Champions
17491.0,0.0,17,5653.670000000002,5,5,5,Champions
17757.0,0.0,56,9074.04999999998,5,5,5,Champions
13510.0,0.0,11,4558.290000000005,5,5,5,Champions
13777.0,0.0,61,49638.260000000024,5,5,5,Champions
13890.0,0.0,14,2927.3799999999983,5,5,5,Champions
16626.0,0.0,17,4413.100000000002,5,5,5,Champions
17243.0,0.0,69,20203.58000000001,5,5,5,Champions
12748.0,0.0,336,53539.63999999976,5,5,5,Champions
14441.0,0.0,11,4611.69,5,5,5,Champions
18102.0,0.0,145,580987.0399999991,5,5,5,Champions
15189.0,0.0,46,17524.379999999997,5,5,5,Champions
17428.0,0.0,45,31466.760000000064,5,5,5,Champions
17581.0,0.0,43,17951.169999999995,5,5,5,Champions
17949.0,0.0,118,117314.08,5,5,5,Champions
16705.0,0.0,42,43515.05100000003,5,5,5,Champions
17754.0,0.0,13,4451.220000000004,5,5,5,Champions
14621.0,0.0,9,3000.570000000001,5,5,5,Champions
13798.0,0.0,110,75428.87000000011,5,5,5,Champions
13263.0,0.0,39,8676.199999999963,5,5,5,Champions
13069.0,0.0,38,9284.449999999992,5,5,5,Champions
16558.0,0.0,38,13304.109999999988,5,5,5,Champions
14422.0,0.0,19,10271.519999999979,5,5,5,Champions
13102.0,0.0,37,11380.099999999968,5,5,5,Champions
14051.0,0.0,37,21770.979999999996,5,5,5,Champions
14606.0,0.0,192,29951.37000000036,5,5,5,Champions
13113.0,0.0,37,18230.07,5,5,5,Champions
16933.0,0.0,9,3099.3000000000006,5,5,5,Champions
17001.0,0.0,19,6640.800000000001,5,5,5,Champions
14653.0,0.0,12,3593.059999999996,5,5,5,Champions
12433.0,0.0,10,16794.139999999992,5,5,5,Champions
13599.0,0.0,33,9811.040000000003,5,5,5,Champions
13680.0,0.0,12,11419.669999999978,5,5,5,Champions
12662.0,0.0,20,6726.540000000008,5,5,5,Champions
17644.0,0.0,20,6028.599999999998,5,5,5,Champions
17389.0,0.0,61,57215.33,5,5,5,Champions
16954.0,0.0,20,6081.879999999998,5,5,5,Champions
13013.0,0.0,29,11097.43,5,5,5,Champions
14702.0,0.0,29,6368.779999999983,5,5,5,Champions
12955.0,0.0,11,4757.159999999998,5,5,5,Champions
17528.0,0.0,8,3628.500000000002,5,5,5,Champions
15311.0,0.0,208,114966.41999999936,5,5,5,Champions
13098.0,0.0,28,28882.44000000001,5,5,5,Champions
17364.0,0.0,28,11972.920000000015,5,5,5,Champions
13426.0,0.0,22,8167.379999999989,5,5,5,Champions
13269.0,0.0,28,8537.319999999989,5,5,5,Champions
16401.0,0.0,23,6849.149999999999,5,5,5,Champions
14415.0,0.0,23,11980.089999999933,5,5,5,Champions
14796.0,0.0,27,10169.329999999998,5,5,5,Champions
15796.0,0.0,17,5171.6299999999965,5,5,5,Champions
14911.0,0.0,398,291420.81000000105,5,5,5,Champions
16523.0,1.0,28,11916.330000000004,5,5,5,Champions
18109.0,1.0,38,9555.710000000001,5,5,5,Champions
13870.0,1.0,15,5712.08,5,5,5,Champions
17841.0,1.0,211,68545.24999999875,5,5,5,Champions
15298.0,1.0,23,9061.769999999997,5,5,5,Champions
14217.0,1.0,23,3298.5900000000006,5,5,5,Champions
12471.0,1.0,79,39918.190000000046,5,5,5,Champions
14191.0,1.0,15,4817.660000000003,5,5,5,Champions
12747.0,1.0,26,8898.480000000001,5,5,5,Champions
16393.0,1.0,23,5297.769999999999,5,5,5,Champions
14032.0,1.0,16,4546.410000000003,5,5,5,Champions
17735.0,1.0,26,16790.329999999954,5,5,5,Champions
14291.0,1.0,23,7904.099999999994,5,5,5,Champions
13756.0,1.0,23,8655.949999999997,5,5,5,Champions
13769.0,1.0,20,5478.119999999996,5,5,5,Champions
14135.0,1.0,24,8839.669999999998,5,5,5,Champions
17673.0,1.0,13,4173.880000000002,5,5,5,Champions
13408.0,1.0,106,50174.782000000014,5,5,5,Champions
15187.0,1.0,16,4777.180000000002,5,5,5,Champions
15443.0,1.0,14,5114.229999999991,5,5,5,Champions
12621.0,1.0,35,24311.200000000004,5,5,5,Champions
14132.0,1.0,11,3586.030000000001,5,5,5,Champions
14646.0,1.0,151,528602.5200000026,5,5,5,Champions
17449.0,1.0,13,4868.1499999999905,5,5,5,Champions
17677.0,1.0,54,35058.45999999997,5,5,5,Champions
16779.0,1.0,53,32809.030000000006,5,5,5,Champions
13468.0,1.0,72,12793.279999999984,5,5,5,Champions
16525.0,1.0,48,24151.300000000014,5,5,5,Champions
13534.0,1.0,35,7720.900000000022,5,5,5,Champions
16210.0,1.0,35,33750.97000000001,5,5,5,Champions
18092.0,1.0,18,14693.720000000016,5,5,5,Champions
13767.0,1.0,73,33903.57000000009,5,5,5,Champions
12935.0,1.0,15,4243.8600000000015,5,5,5,Champions
15159.0,1.0,34,22116.729999999992,5,5,5,Champions
16161.0,1.0,43,12580.059999999958,5,5,5,Champions
17315.0,1.0,43,9599.579999999987,5,5,5,Champions
13394.0,1.0,19,6621.699999999994,5,5,5,Champions
16672.0,1.0,20,8134.94,5,5,5,Champions
17602.0,1.0,14,7354.4299999999985,5,5,5,Champions
14085.0,1.0,33,9720.669999999984,5,5,5,Champions
14189.0,1.0,16,5503.149999999999,5,5,5,Champions
14395.0,1.0,20,7801.929999999999,5,5,5,Champions
12437.0,1.0,39,12683.400000000003,5,5,5,Champions
12569.0,1.0,32,4124.689999999999,5,5,5,Champions
14572.0,2.0,11,5526.879999999993,5,5,5,Champions
12362.0,2.0,11,5356.230000000004,5,5,5,Champions
14868.0,2.0,12,4184.010000000001,5,5,5,Champions
13078.0,2.0,57,29018.060000000012,5,5,5,Champions
15498.0,2.0,44,24972.860000000004,5,5,5,Champions
13089.0,2.0,203,113416.90999999936,5,5,5,Champions
13267.0,2.0,36,9429.81,5,5,5,Champions
13668.0,2.0,35,12948.479999999994,5,5,5,Champions
14527.0,2.0,122,27246.880000000478,5,5,5,Champions
12989.0,2.0,33,13551.750000000002,5,5,5,Champions
17238.0,2.0,32,7331.669999999984,5,5,5,Champions
16458.0,2.0,30,5690.890000000013,5,5,5,Champions
15984.0,2.0,30,8393.019999999984,5,5,5,Champions
12720.0,2.0,30,7787.279999999994,5,5,5,Champions
18272.0,2.0,9,4385.979999999995,5,5,5,Champions
17017.0,2.0,29,12576.989999999982,5,5,5,Champions
